Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-162.8750334611185,111.0,-162.8750334611185,111.0,0.9989455
2.0,-186.81197313732196,125.0,-174.84350329922023,236.0,0.997758
3.0,-78.08974779750301,138.0,-142.5922514653145,374.0,0.996447
4.0,-160.4196527882471,63.0,-147.04910179604764,437.0,0.9958485
5.0,-50.585395662451376,77.0,-127.75636056932838,514.0,0.995117
6.0,-86.66385722007263,94.0,-120.90761001111908,608.0,0.994224
7.0,-205.76144712002082,87.0,-133.0295867409622,695.0,0.9933975
8.0,-105.31120301930031,106.0,-129.56478877575447,801.0,0.9923905
9.0,-95.94557216098123,147.0,-125.82932026300189,948.0,0.990994
10.0,-344.16932005557646,120.0,-147.66332024225935,1068.0,0.989854
11.0,-152.7337885865772,161.0,-148.1242719099246,1229.0,0.9883245
12.0,-104.91361113237359,133.0,-144.52338351179534,1362.0,0.987061
13.0,-104.8636320858725,82.0,-141.47263340210898,1444.0,0.986282
14.0,-369.4950220990631,131.0,-157.75994688046285,1575.0,0.9850375
15.0,-186.48413104970155,117.0,-159.67489249174542,1692.0,0.983926
16.0,-144.6545624160572,71.0,-158.7361218620149,1763.0,0.9832515
17.0,-169.85289229487384,101.0,-159.39004953453602,1864.0,0.982292
18.0,-116.25731822806739,73.0,-156.99378668417665,1937.0,0.9815985
19.0,-32.21231749489206,129.0,-150.4263409373722,2066.0,0.980373
20.0,-148.00792859693797,112.0,-150.3054203203505,2178.0,0.979309
21.0,-76.99706503906673,110.0,-146.814546259337,2288.0,0.978264
22.0,-51.750333622413855,103.0,-142.4934456849314,2391.0,0.9772855
23.0,-61.88033670468259,88.0,-138.98852790318145,2479.0,0.9764495
24.0,-384.771156846807,190.0,-149.2294707758325,2669.0,0.9746445
25.0,-96.95112757716926,134.0,-147.13833704788598,2803.0,0.9733715000000001
26.0,-73.86315808836656,109.0,-144.32006093405832,2912.0,0.972336
27.0,-206.4992332747346,102.0,-146.62299324297226,3014.0,0.971367
28.0,-420.4263205774486,189.0,-156.40168350491783,3203.0,0.9695715
29.0,-146.6585531414484,97.0,-156.0657134923844,3300.0,0.96865
30.0,-351.50954808586425,160.0,-162.58050797883374,3460.0,0.96713
31.0,-191.56525753756972,75.0,-163.51549990008328,3535.0,0.9664175
32.0,-110.75207574526918,128.0,-161.86664289524532,3663.0,0.9652015
33.0,-285.06405103354075,101.0,-165.59989768731486,3764.0,0.964242
34.0,-265.78182408883566,93.0,-168.5464249344184,3857.0,0.9633585
35.0,-288.1652740226149,117.0,-171.9641063369383,3974.0,0.962247
36.0,-142.9740057628361,120.0,-171.15882576543547,4094.0,0.961107
37.0,-172.22581799420217,100.0,-171.18766339323997,4194.0,0.960157
38.0,-98.69722584051937,114.0,-169.28002029974732,4308.0,0.959074
39.0,-162.51272667556853,111.0,-169.10649995040941,4419.0,0.9580195
40.0,-122.24276266089322,114.0,-167.93490651817154,4533.0,0.9569365
41.0,-229.56833823230852,168.0,-169.43816095022365,4701.0,0.9553405
42.0,-308.37420443001804,116.0,-172.74616198545687,4817.0,0.9542385
43.0,-318.7556244884181,134.0,-176.14173088087455,4951.0,0.9529655
44.0,-80.01509271008463,110.0,-173.95703455881116,5061.0,0.9519205
45.0,-230.11657124270798,143.0,-175.20502426289775,5204.0,0.950562
46.0,-378.0573768833596,113.0,-179.6148580155165,5317.0,0.9494885
47.0,-314.84699417003753,167.0,-182.49213750816585,5484.0,0.947902
48.0,-135.35730092537233,93.0,-181.51016174602432,5577.0,0.9470185
49.0,-69.23569728778364,75.0,-179.21884614483574,5652.0,0.946306
