Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-147.28337494481883,154.0,-147.28337494481883,154.0,0.998537
2.0,-356.7588669562659,107.0,-252.02112095054235,261.0,0.9975205
3.0,-133.73002930589453,84.0,-212.59075706899307,345.0,0.9967225
4.0,-492.8659904724878,114.0,-282.65956541986674,459.0,0.9956395
5.0,-105.14757946754544,104.0,-247.1571682294025,563.0,0.9946515
6.0,-110.14282030156431,85.0,-224.3214435747628,648.0,0.993844
7.0,-331.4484029025639,98.0,-239.6252949073058,746.0,0.992913
8.0,-269.6952678543719,143.0,-243.3840415256891,889.0,0.9915545
9.0,-232.4088226984327,98.0,-242.16457276710506,987.0,0.9906235
10.0,-143.54474136984766,83.0,-232.3025896273793,1070.0,0.989835
11.0,-292.6701878876705,148.0,-237.7905531055876,1218.0,0.988429
12.0,-99.12027788903261,84.0,-226.23469683754135,1302.0,0.987631
13.0,-128.64513618139546,139.0,-218.72780755629935,1441.0,0.9863105
14.0,-107.7376447476104,125.0,-210.79993878425014,1566.0,0.985123
15.0,-28.282595158589544,108.0,-198.63211587587278,1674.0,0.984097
16.0,-82.8634619611988,149.0,-191.39657500620564,1823.0,0.9826815
17.0,-165.06680246267695,131.0,-189.8477648565863,1954.0,0.981437
18.0,-336.0549080123277,126.0,-197.97038392079418,2080.0,0.98024
19.0,-92.36980893191847,76.0,-192.41245892137968,2156.0,0.979518
20.0,-228.08584548739347,113.0,-194.19612824968036,2269.0,0.9784445
21.0,-254.69167666722979,101.0,-197.07686865051602,2370.0,0.977485
22.0,-156.9220014988199,91.0,-195.251647416348,2461.0,0.9766205
23.0,-155.2458150289903,111.0,-193.51226339950637,2572.0,0.975566
24.0,-88.19036574025938,128.0,-189.12385099703775,2700.0,0.97435
25.0,-87.9507165922581,95.0,-185.07692562084657,2795.0,0.9734475
26.0,-89.78719800843179,121.0,-181.41193609729214,2916.0,0.972298
27.0,-387.86249883876224,115.0,-189.0582532358651,3031.0,0.9712055
28.0,-221.24512761334566,104.0,-190.2077844636323,3135.0,0.9702175
29.0,-41.6438614267005,91.0,-185.08489056580706,3226.0,0.969353
30.0,-94.71124454807276,77.0,-182.07243569854924,3303.0,0.9686215
31.0,-62.545015515947725,83.0,-178.2167124668524,3386.0,0.967833
32.0,-160.2694378529186,130.0,-177.65586013516696,3516.0,0.966598
33.0,-56.465222349415896,92.0,-173.98341656590176,3608.0,0.965724
34.0,-271.7909675019514,141.0,-176.86010924049145,3749.0,0.9643845
35.0,-104.81088931867008,145.0,-174.801560099868,3894.0,0.963007
36.0,-545.450204560952,193.0,-185.09735577934256,4087.0,0.9611735
37.0,-49.19250952274119,76.0,-181.42425182646144,4163.0,0.9604515
38.0,-114.50295597844766,144.0,-179.663165093619,4307.0,0.9590835
39.0,-244.31819453577154,122.0,-181.3209863613665,4429.0,0.9579245
40.0,-120.46302778857421,77.0,-179.7995373970467,4506.0,0.957193
41.0,-324.6092487000167,122.0,-183.3314815751679,4628.0,0.956034
42.0,-128.9505126528877,92.0,-182.03669660082792,4720.0,0.95516
43.0,-92.573388050988,116.0,-179.95615454152932,4836.0,0.954058
44.0,-74.45757206341585,87.0,-177.55845948520854,4923.0,0.9532315
45.0,-238.7691579050834,126.0,-178.91869722787243,5049.0,0.9520345
