Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-92.45552144850954,104.0,-92.45552144850954,104.0,0.999012
2.0,-104.04220289682024,74.0,-98.2488621726649,178.0,0.998309
3.0,-390.5505893370275,128.0,-195.68277122745243,306.0,0.997093
4.0,-203.03764911032113,90.0,-197.5214906981696,396.0,0.996238
5.0,-8.40690796169261,89.0,-159.6985741508742,485.0,0.9953925
6.0,-171.76026878384113,89.0,-161.708856589702,574.0,0.994547
7.0,-271.9794221088525,112.0,-177.46179452100924,686.0,0.993483
8.0,-197.522517856339,110.0,-179.96938493792544,796.0,0.992438
9.0,-303.58561401490624,114.0,-193.70452150203442,910.0,0.991355
10.0,18.949337396174357,78.0,-172.43913561221353,988.0,0.990614
11.0,-227.84017367229438,144.0,-177.47559361767546,1132.0,0.989246
12.0,-296.5436429821518,145.0,-187.39793106471515,1277.0,0.9878685
13.0,-387.96815535283724,106.0,-202.82640985610914,1383.0,0.9868615
14.0,-265.29000406172463,132.0,-207.28809515651025,1515.0,0.9856075
15.0,-82.03796784214323,134.0,-198.93808666888577,1649.0,0.9843345
16.0,-452.38254448489045,112.0,-214.7783652823861,1761.0,0.9832705
17.0,-56.65580943808046,69.0,-205.47703846801517,1830.0,0.982615
18.0,-240.7389731641224,107.0,-207.4360348400211,1937.0,0.9815985
19.0,-184.99673935987437,158.0,-206.25501928843445,2095.0,0.9800975
20.0,-99.69348893312998,171.0,-200.92694277066923,2266.0,0.978473
21.0,-210.50481921753203,91.0,-201.38303212528177,2357.0,0.9776085
22.0,-544.7051368026325,92.0,-216.9885823378886,2449.0,0.9767345
23.0,-132.2048292609756,103.0,-213.30233220410975,2552.0,0.975756
24.0,-127.57975179079814,83.0,-209.73055802022176,2635.0,0.9749675
25.0,-231.68053288723937,111.0,-210.60855701490246,2746.0,0.973913
26.0,-390.40139939942424,94.0,-217.52366633738407,2840.0,0.97302
27.0,-71.43262283582091,102.0,-212.1128869484373,2942.0,0.972051
28.0,-184.15554049530246,100.0,-211.11441028939677,3042.0,0.971101
29.0,-93.4148569677308,109.0,-207.05580500244278,3151.0,0.9700655
30.0,-253.40857500510697,93.0,-208.60089733586491,3244.0,0.969182
31.0,-140.77333491026906,135.0,-206.41291145116827,3379.0,0.9678995
32.0,-271.5541605640178,119.0,-208.44857548594484,3498.0,0.966769
