Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-84.41274672940965,103.0,-84.41274672940965,103.0,0.9990215
2.0,-22.53924079411712,167.0,-53.475993761763384,270.0,0.997435
3.0,-17.872486055916653,95.0,-41.608157859814476,365.0,0.9965325
4.0,-288.1469862477738,110.0,-103.2428649568043,475.0,0.9954875
5.0,-407.4503411212343,100.0,-164.0843601896903,575.0,0.9945375
6.0,-53.35841565604074,76.0,-145.6300361007487,651.0,0.9938155
7.0,-430.4859756900162,173.0,-186.32374175635837,824.0,0.992172
8.0,-201.7267580771923,113.0,-188.2491187964626,937.0,0.9910985
9.0,-320.06828934140003,81.0,-202.89569330145565,1018.0,0.990329
10.0,-356.5933774514809,106.0,-218.2654617164582,1124.0,0.989322
11.0,-134.52542328176625,85.0,-210.65273094966798,1209.0,0.9885145
12.0,-345.11542958088876,121.0,-221.85795583560306,1330.0,0.987365
13.0,-216.71589206470128,97.0,-221.4624124686106,1427.0,0.9864435
14.0,-429.13050235109625,125.0,-236.29584746021672,1552.0,0.985256
15.0,-205.714396526592,97.0,-234.25708406464173,1649.0,0.9843345
16.0,-254.81935541397743,93.0,-235.54222602397522,1742.0,0.983451
17.0,-251.78586620734652,121.0,-236.49773427005587,1863.0,0.9823015
18.0,-89.05234866773131,157.0,-228.30632395881563,2020.0,0.98081
19.0,-319.064754887532,90.0,-233.08308348137967,2110.0,0.979955
20.0,-357.6029141337427,113.0,-239.30907501399784,2223.0,0.9788815
21.0,-93.93437020879675,152.0,-232.386470023274,2375.0,0.9774375
22.0,-32.32916516058519,81.0,-223.29295616587905,2456.0,0.976668
23.0,-345.0504596214215,91.0,-228.5867606639461,2547.0,0.9758035
24.0,-393.99345005363574,89.0,-235.47870605518315,2636.0,0.974958
25.0,-186.54246412513513,143.0,-233.52125637798122,2779.0,0.9735995
26.0,-338.0539954671183,124.0,-237.54174634294804,2903.0,0.9724215
27.0,-88.93876376028297,136.0,-232.0379321732197,3039.0,0.9711295
28.0,-288.13621432709783,142.0,-234.04144225014394,3181.0,0.9697805
29.0,-146.94184861009282,110.0,-231.0380079866939,3291.0,0.9687355
30.0,-62.76721080019807,102.0,-225.4289814138107,3393.0,0.9677665
31.0,-50.11257807088151,159.0,-219.7736135640388,3552.0,0.966256
32.0,-84.30190309049956,111.0,-215.54012261174068,3663.0,0.9652015
33.0,-355.224854371662,92.0,-219.77299327113224,3755.0,0.9643275
34.0,-278.6235136076727,165.0,-221.50389092808933,3920.0,0.9627600000000001
35.0,-343.7927524882537,128.0,-224.99785840123687,4048.0,0.961544
36.0,-277.45769523596215,111.0,-226.45507609109035,4159.0,0.9604895
37.0,-188.0814576225917,177.0,-225.41795126761744,4336.0,0.958808
38.0,-184.3874569338555,95.0,-224.33820141672894,4431.0,0.9579055
39.0,-107.22826304498187,87.0,-221.33538248412006,4518.0,0.957079
40.0,-54.93767351507088,76.0,-217.17543975989378,4594.0,0.956357
41.0,-470.0211514622638,142.0,-223.34240833800038,4736.0,0.955008
42.0,-216.53541953714767,133.0,-223.1803371760753,4869.0,0.9537445
43.0,-261.7611327302164,129.0,-224.07756497966,4998.0,0.952519
44.0,-52.773155383725644,135.0,-220.18428294338875,5133.0,0.9512365
45.0,-155.72749932130048,126.0,-218.75190997400904,5259.0,0.9500395
46.0,-88.91823691638362,109.0,-215.9294388205824,5368.0,0.949004
47.0,-304.12238041671696,153.0,-217.80588438645756,5521.0,0.9475505
48.0,-170.7116392511005,113.0,-216.82475427947097,5634.0,0.946477
49.0,-177.89983629272615,117.0,-216.03036819810882,5751.0,0.9453655
50.0,-199.74276234349406,176.0,-215.70461608101652,5927.0,0.9436935
51.0,-115.44504629790323,80.0,-213.7387421637006,6007.0,0.9429335
52.0,-29.367739195927385,95.0,-210.1931459527819,6102.0,0.9420310000000001
53.0,-28.131352385311175,97.0,-206.7580177722636,6199.0,0.9411095
54.0,-75.3729591253423,105.0,-204.32496113065395,6304.0,0.9401120000000001
55.0,-479.5650348405582,108.0,-209.32932610719766,6412.0,0.939086
56.0,-5.398138155746125,87.0,-205.6876977509217,6499.0,0.9382595
57.0,-35.63117568815929,74.0,-202.70424999543465,6573.0,0.9375565
58.0,-9.04082332611155,152.0,-199.36522539768768,6725.0,0.9361125
59.0,-289.0973654104555,146.0,-200.88610912671763,6871.0,0.9347255
60.0,-68.15437199939909,76.0,-198.67391350792897,6947.0,0.9340035
61.0,-91.70192504794404,118.0,-196.92027435284726,7065.0,0.9328825000000001
62.0,-85.75846581587093,90.0,-195.12734195708958,7155.0,0.9320275
63.0,-51.06331667134495,82.0,-192.84061139699838,7237.0,0.9312485
64.0,-136.55981788833816,92.0,-191.96122399842562,7329.0,0.9303745
65.0,-34.194709712321895,76.0,-189.53404685556248,7405.0,0.9296525
66.0,-317.2055420310964,115.0,-191.46846344913118,7520.0,0.92856
67.0,-239.50825859919306,102.0,-192.18547531704255,7622.0,0.927591
68.0,-244.24603561113477,128.0,-192.95107179195568,7750.0,0.926375
69.0,-98.6013457362811,145.0,-191.58368445781545,7895.0,0.9249975
70.0,-59.61581619849929,82.0,-189.69842919696808,7977.0,0.9242185
71.0,-115.77036149303518,121.0,-188.65718880677184,8098.0,0.923069
72.0,-126.31472940814126,66.0,-187.7913213151242,8164.0,0.922442
73.0,-78.08732926692386,74.0,-186.28852690350502,8238.0,0.921739
74.0,-70.68822749054803,143.0,-184.7263606952218,8381.0,0.9203805
75.0,-324.91231154039514,145.0,-186.59550670649077,8526.0,0.919003
76.0,-220.30381782411075,99.0,-187.03903711593316,8625.0,0.9180625
77.0,-218.2319052493096,95.0,-187.44413929948348,8720.0,0.91716
78.0,-167.21695423236307,113.0,-187.1848164140076,8833.0,0.9160865
79.0,-84.72250461780958,95.0,-185.88782512544813,8928.0,0.915184
80.0,-164.59945817023203,104.0,-185.62172053850793,9032.0,0.914196
81.0,-63.842316132372325,83.0,-184.11827110139512,9115.0,0.9134075
82.0,-40.3297116235894,96.0,-182.36475208337313,9211.0,0.9124955
83.0,-280.12629144972334,146.0,-183.54260195525686,9357.0,0.9111085
84.0,-160.26529677368666,160.0,-183.2654911792858,9517.0,0.9095885
85.0,-305.1487588259533,91.0,-184.69941197512895,9608.0,0.908724
86.0,-292.5112903138835,129.0,-185.95303846744002,9737.0,0.9074985
87.0,-289.5894601435215,170.0,-187.14426170509614,9907.0,0.9058835000000001
88.0,-72.17020233300809,75.0,-185.8377383031406,9982.0,0.9051710000000001
89.0,-130.20311059902224,88.0,-185.21263012668985,10070.0,0.904335
90.0,-177.05507175819622,177.0,-185.12199058926214,10247.0,0.9026535
91.0,-15.704737200228976,74.0,-183.260262530042,10321.0,0.9019505
92.0,-144.0361267797274,142.0,-182.83391322840816,10463.0,0.9006015
93.0,-83.0969427060245,73.0,-181.76147268515675,10536.0,0.899908
94.0,-65.30270514681993,92.0,-180.52254962623826,10628.0,0.899034
95.0,-269.8561248990196,75.0,-181.46290305016228,10703.0,0.8983215
96.0,-77.00267042691657,85.0,-180.37477562700346,10788.0,0.897514
97.0,-68.68982386650325,103.0,-179.22338437174054,10891.0,0.8965355
98.0,-106.92685964845435,155.0,-178.485664731707,11046.0,0.895063
99.0,-85.52038530179159,176.0,-177.5466215051422,11222.0,0.893391
100.0,-92.49068171461045,121.0,-176.6960621072369,11343.0,0.8922415
101.0,-41.762042931512156,81.0,-176.26955506925796,11424.0,0.891472
102.0,-136.66994243688316,87.0,-177.41086208568558,11511.0,0.8906455
103.0,-127.84595464454458,103.0,-178.51059677157184,11614.0,0.889667
104.0,-4.354128858193491,175.0,-175.67266819767602,11789.0,0.8880045
105.0,-146.99077542418533,110.0,-173.06807254070554,11899.0,0.8869595
106.0,-322.88887801983674,153.0,-175.76337716434355,12052.0,0.885506
107.0,-57.011665714719115,130.0,-172.02863406459056,12182.0,0.884271
