Episode,Reward,Steps,AvgReward,TotalSteps
235.0,242.89627064813385,224,204.19675852275145,139503
236.0,303.93714451269216,321,204.5695519645876,139824
237.0,280.5151041273777,327,205.0218027943383,140151
238.0,252.2348535057835,521,205.9234079564351,140672
239.0,251.7027409859115,648,206.7685750323976,141320
240.0,259.06943785861444,280,207.6965896543226,141600
241.0,289.90723580572256,251,208.26133591888785,141851
242.0,249.0011442063557,219,211.14625135805093,142070
243.0,282.35981163497206,232,217.622503409318,142302
244.0,273.14310885135853,294,220.8264511726267,142596
245.0,242.0724349955709,228,220.81310669962104,142824
246.0,238.69230558181408,231,220.6399738103717,143055
247.0,-246.80583222964563,432,215.75772454079623,143487
248.0,237.53664835323,307,215.67143155683635,143794
249.0,170.66406706250473,737,214.3490918777748,144531
250.0,274.8942804301864,289,220.4664501521557,144820
251.0,257.3443455377291,297,220.9949115063678,145117
252.0,-57.991097691611394,1000,217.8644433271177,146117
253.0,177.91932744117625,758,217.01306680206133,146875
254.0,187.77398397380165,698,216.55601581352977,147573
255.0,248.4615791947181,303,216.418451129175,147876
256.0,-104.85194676390958,438,212.8644182660641,148314
257.0,273.1201833559951,326,212.670552645295,148640
258.0,260.32768161971893,194,212.6844287151048,148834
259.0,249.61075622463375,185,212.73268434797677,149019
260.0,255.0220262710779,203,213.1961804393971,149222
261.0,285.2517213159284,268,213.65723974469677,149490
262.0,278.5704919966194,202,214.1052417981548,149692
263.0,274.9282570690376,266,213.9786167228945,149958
264.0,245.87777583647392,221,213.75329758494317,150179
265.0,48.19963625494972,217,211.2408109637856,150396
266.0,270.38908256069067,395,211.21635940423755,150791
267.0,270.8106177629586,361,211.98994769233877,151152
268.0,273.2653748395049,253,212.7937183204995,151405
269.0,286.4777903790361,279,213.0757856498785,151684
270.0,250.8076083078516,239,213.4625372244049,151923
271.0,263.3888004976676,283,213.65222083165716,152206
272.0,271.2022550645676,290,214.7260449715012,152496
273.0,283.38904744756206,278,215.13556465865184,152774
274.0,292.5981769591704,267,218.3808708283101,153041
275.0,261.0577852874994,228,218.3912082338054,153269
276.0,280.5681431790721,247,219.14846306772532,153516
277.0,243.9878278915062,300,219.7542214239187,153816
278.0,274.79680249549176,343,220.22531322701,154159
279.0,256.99539900973423,283,219.82993496849068,154442
280.0,38.617545327368816,223,218.02801382740392,154665
281.0,247.78675200546311,234,218.39462828021013,154899
282.0,258.7494538050671,239,218.3318803000124,155138
283.0,49.85928989322432,202,216.40432867090504,155340
284.0,268.70183290249486,262,216.5366569974545,155602
285.0,275.0437126777856,216,216.38693761680904,155818
