Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-186.69095735062024,90.0,-186.69095735062024,90.0,0.999145
2.0,-76.3342478678992,79.0,-131.51260260925972,169.0,0.9983945
3.0,-265.5741776457605,88.0,-176.19979428809333,257.0,0.9975585
4.0,-36.95688504722052,76.0,-141.38906697787513,333.0,0.9968365
5.0,-67.82134312181633,85.0,-126.67552220666337,418.0,0.996029
6.0,-378.49457291107876,139.0,-168.6453639907326,557.0,0.9947085
7.0,-279.94683226797116,106.0,-184.54557374462382,663.0,0.9937015
8.0,-228.129388796663,89.0,-189.99355062612872,752.0,0.992856
9.0,-258.5100135525002,107.0,-197.6064909512811,859.0,0.9918395
10.0,-49.29245547440244,95.0,-182.77508740359323,954.0,0.990937
11.0,-135.2054239694052,81.0,-178.4505725459398,1035.0,0.9901675
12.0,-442.3928436022759,147.0,-200.44576180063447,1182.0,0.988771
13.0,-101.67500166333814,73.0,-192.84801102084245,1255.0,0.9880775
14.0,-60.48123534730168,61.0,-183.39324132987525,1316.0,0.987498
15.0,-23.380608522461046,101.0,-172.72573247604763,1417.0,0.9865385
16.0,-120.57735031176148,104.0,-169.46645859077972,1521.0,0.9855505
17.0,-113.78137645937225,98.0,-166.19086552422633,1619.0,0.9846195
18.0,-89.07825322427543,76.0,-161.9068315075624,1695.0,0.9838975
19.0,-503.41966097612686,118.0,-179.88119095327633,1813.0,0.9827765
20.0,-387.4706729016942,84.0,-190.26066505069724,1897.0,0.9819785
21.0,-453.32425831650295,98.0,-202.78750282525942,1995.0,0.9810475
22.0,-300.848440054453,124.0,-207.24481815385914,2119.0,0.9798695
23.0,-325.89016233162886,81.0,-212.40331137897957,2200.0,0.9791
24.0,-119.02763515240296,120.0,-208.5126582028722,2320.0,0.97796
25.0,-202.1437180095837,83.0,-208.25790059514063,2403.0,0.9771715
26.0,-307.95651418708286,103.0,-212.09246265636918,2506.0,0.976193
27.0,-152.87716094874602,82.0,-209.8993033338646,2588.0,0.975414
28.0,-213.9364634153281,123.0,-210.0434876224883,2711.0,0.9742455
29.0,-409.58330581106065,118.0,-216.92417100830113,2829.0,0.9731245
30.0,-471.52473448947694,187.0,-225.41085645767365,3016.0,0.971348
31.0,-250.30230864046874,116.0,-226.2138065280864,3132.0,0.970246
32.0,-440.33251637243836,113.0,-232.9050162107224,3245.0,0.9691725
33.0,-128.68375781356974,109.0,-229.74679625929355,3354.0,0.968137
34.0,-149.0696800117931,138.0,-227.37393989907295,3492.0,0.966826
35.0,-55.72057541602695,91.0,-222.4695580567002,3583.0,0.9659615
36.0,-317.34700471850806,83.0,-225.10504268619488,3666.0,0.9651730000000001
37.0,-193.1300611237072,133.0,-224.2408539953168,3799.0,0.9639095
38.0,-336.5254582362462,95.0,-227.19571200165706,3894.0,0.963007
39.0,-122.5130926636811,111.0,-224.5115422750423,4005.0,0.9619525
40.0,-319.303837020587,103.0,-226.88134964368092,4108.0,0.960974
41.0,-89.6850355470281,101.0,-223.53509808034792,4209.0,0.9600145
42.0,-62.34918570838164,83.0,-219.69733826196776,4292.0,0.959226
43.0,-321.6224062314363,89.0,-222.06768867986239,4381.0,0.9583805
44.0,-165.87378121405507,171.0,-220.79055441927585,4552.0,0.956756
45.0,-263.1904994406916,133.0,-221.73277541975176,4685.0,0.9554925
46.0,-84.21154814773026,96.0,-218.7431835225339,4781.0,0.9545805
47.0,-160.28708758142986,134.0,-217.49943680038277,4915.0,0.9533075
48.0,-100.9261530352481,76.0,-215.07082672194247,4991.0,0.9525855
49.0,-235.9623987362841,93.0,-215.49718533448006,5084.0,0.951702
50.0,-83.9921805749592,104.0,-212.86708523928965,5188.0,0.9507140000000001
51.0,-113.6931758898948,160.0,-210.92249878145842,5348.0,0.949194
52.0,-90.65916388271285,97.0,-208.6097423410979,5445.0,0.9482725
53.0,-305.13262676081763,94.0,-210.4309288395832,5539.0,0.9473795
54.0,-156.70881949898796,169.0,-209.4360749629055,5708.0,0.945774
55.0,-95.52071720771877,85.0,-207.36488664008394,5793.0,0.9449665
56.0,-382.0286431623469,120.0,-210.48388229226717,5913.0,0.9438265
57.0,-208.36655802271042,104.0,-210.44673625245036,6017.0,0.9428385
58.0,-75.58649534430602,71.0,-208.12155968506855,6088.0,0.942164
59.0,-119.70487681978732,81.0,-206.6229718398943,6169.0,0.9413945
60.0,-157.37338595425018,108.0,-205.80214540846688,6277.0,0.9403685
61.0,-116.37588901267168,157.0,-204.33614120525712,6434.0,0.938877
62.0,-64.72062200819565,66.0,-202.0842779924013,6500.0,0.93825
63.0,-289.0983980980419,159.0,-203.46545450201464,6659.0,0.9367395000000001
64.0,-336.78483849879797,161.0,-205.5485698769644,6820.0,0.93521
