Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-132.6781030547356,103.0,-132.6781030547356,103.0,0.9990215
2.0,-109.9342645479072,102.0,-121.3061838013214,205.0,0.9980525
3.0,-162.118612017775,127.0,-134.91032654013927,332.0,0.996846
4.0,-138.2030590071625,93.0,-135.73350965689508,425.0,0.9959625
5.0,-136.5873392882926,67.0,-135.90427558317458,492.0,0.995326
6.0,-133.28497218819322,111.0,-135.46772501734435,603.0,0.9942715
7.0,-212.5055907713454,139.0,-146.47313441077307,742.0,0.992951
8.0,-150.9444401195524,75.0,-147.03204762437048,817.0,0.9922385
9.0,-85.88937272274231,65.0,-140.23841707974512,882.0,0.991621
10.0,-118.84446079616541,101.0,-138.09902145138716,983.0,0.9906615
11.0,-38.723854001577756,65.0,-129.0649153195863,1048.0,0.990044
12.0,-103.38446629903115,124.0,-126.9248779012067,1172.0,0.988866
13.0,-95.32667276591373,107.0,-124.4942467369534,1279.0,0.9878495
14.0,-145.9178848525516,123.0,-126.02450660235328,1402.0,0.986681
15.0,-340.09297841606804,98.0,-140.29573805660092,1500.0,0.98575
16.0,-158.9522667764735,106.0,-141.46177110159294,1606.0,0.984743
17.0,-55.018858804545346,61.0,-136.37689390764896,1667.0,0.9841635
18.0,-114.51242808315318,107.0,-135.16220136184364,1774.0,0.983147
19.0,-138.30492331936807,104.0,-135.32760778066074,1878.0,0.982159
20.0,-178.59536939548627,136.0,-137.490995861402,2014.0,0.980867
21.0,-94.93775223859261,93.0,-135.4646509269825,2107.0,0.9799835
22.0,-85.02514498977801,83.0,-133.17194611165502,2190.0,0.979195
23.0,-68.27564562645983,75.0,-130.35036782969001,2265.0,0.9784825
24.0,-71.09644321835881,79.0,-127.88145430421791,2344.0,0.977732
25.0,-298.68450375528016,148.0,-134.7135762822604,2492.0,0.976326
26.0,8.009489712440342,157.0,-129.22422759015652,2649.0,0.9748345
27.0,-47.063505163478354,129.0,-126.18123787064994,2778.0,0.973609
28.0,-311.60168022002006,75.0,-132.8033965259846,2853.0,0.9728965
29.0,-138.45881731373788,96.0,-132.9984110359071,2949.0,0.9719845
30.0,-44.42053805660535,107.0,-130.0458152699304,3056.0,0.970968
31.0,-108.12578086833604,70.0,-129.338717386008,3126.0,0.970303
32.0,-327.85894216247567,113.0,-135.54247441027258,3239.0,0.9692295
33.0,-112.47669610566064,106.0,-134.84351143134492,3345.0,0.9682225
34.0,-73.88718451237621,78.0,-133.05067828666938,3423.0,0.9674815
35.0,-123.73448801299241,89.0,-132.78450142170718,3512.0,0.966636
36.0,-265.6348113675732,99.0,-136.47478780909233,3611.0,0.9656955
37.0,-59.53981372086216,70.0,-134.3954641850861,3681.0,0.9650305
38.0,-67.41296261630075,91.0,-132.6327667753812,3772.0,0.964166
39.0,-83.62097126565467,163.0,-131.37605407000362,3935.0,0.9626175
40.0,-192.28369102890218,104.0,-132.89874499397612,4039.0,0.9616295
41.0,-442.71155721689365,149.0,-140.45515504819363,4188.0,0.960214
42.0,-111.07707172462133,80.0,-139.75567687382286,4268.0,0.959454
43.0,-55.864864615091236,110.0,-137.8047277515268,4378.0,0.958409
44.0,-139.8930627406068,89.0,-137.85218991036953,4467.0,0.9575635
45.0,-97.15995862675555,124.0,-136.94791810406699,4591.0,0.9563855
46.0,-141.7340910093099,99.0,-137.0519653411375,4690.0,0.955445
47.0,-114.19063495976773,75.0,-136.5655540564275,4765.0,0.9547325
48.0,-254.30166210567484,86.0,-139.0183896407868,4851.0,0.9539155
49.0,-131.51587123308894,128.0,-138.86527702022153,4979.0,0.9526995
50.0,-237.40791436109444,105.0,-140.83612976703898,5084.0,0.951702
51.0,-129.31986208816193,106.0,-140.61032059686494,5190.0,0.950695
52.0,-105.210646998989,140.0,-139.92955764305964,5330.0,0.949365
53.0,-93.78596080181923,85.0,-139.0589237403947,5415.0,0.9485575
54.0,-82.07860596838961,66.0,-138.00373267054277,5481.0,0.9479305
55.0,-85.91099153706242,85.0,-137.0565919226613,5566.0,0.947123
56.0,-114.29882928574777,131.0,-136.65020330414498,5697.0,0.9458785
57.0,-110.8262071080708,116.0,-136.19715073930158,5813.0,0.9447765
58.0,-142.06617237648925,106.0,-136.29834076752894,5919.0,0.9437695
59.0,-83.27766768534852,89.0,-135.3996852915598,6008.0,0.942924
