Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-344.6069266148175,89.0,-344.6069266148175,89.0,0.9991545
2.0,-507.2017688726277,107.0,-425.9043477437226,196.0,0.998138
3.0,-394.58311739833675,91.0,-415.463937628594,287.0,0.9972735
4.0,-452.0692419799112,113.0,-424.6152637164233,400.0,0.9962
5.0,-440.9026035272886,100.0,-427.8727316785964,500.0,0.99525
6.0,-82.54823144343752,64.0,-370.3186483060699,564.0,0.994642
7.0,-314.5192104679097,137.0,-362.3473000434756,701.0,0.9933405
8.0,-71.24476409114467,143.0,-325.9594830494342,844.0,0.991982
9.0,-241.83299680098105,92.0,-316.61209568849495,936.0,0.991108
10.0,-175.10263637924754,117.0,-302.46114975757024,1053.0,0.9899965
11.0,-105.08252760898684,130.0,-284.51763865315354,1183.0,0.9887615
12.0,-285.3079077624171,70.0,-284.58349441225886,1253.0,0.9880965
13.0,-320.8313641600302,96.0,-287.3717920851643,1349.0,0.9871845
14.0,-465.37701543171187,125.0,-300.086450895632,1474.0,0.985997
15.0,-191.2951833382424,81.0,-292.83369972513935,1555.0,0.9852275
16.0,-183.7748748871672,135.0,-286.0175231727661,1690.0,0.983945
17.0,-325.75356324248264,90.0,-288.3549372945141,1780.0,0.98309
18.0,-74.39984885799885,90.0,-276.46854349248554,1870.0,0.982235
19.0,-317.9303269409803,92.0,-278.6507426213537,1962.0,0.981361
20.0,-342.55217437345414,137.0,-281.8458142089587,2099.0,0.9800595
21.0,-195.86388371938875,101.0,-277.7514365665982,2200.0,0.9791
22.0,-109.55063454227007,98.0,-270.1059455654924,2298.0,0.978169
23.0,-281.6401237128218,88.0,-270.607431571898,2386.0,0.977333
24.0,-220.59952327253302,100.0,-268.5237687260912,2486.0,0.976383
25.0,-190.4665531305737,110.0,-265.40148010227045,2596.0,0.975338
26.0,-34.31514480945492,115.0,-256.5135441294699,2711.0,0.9742455
27.0,-96.24986209326235,83.0,-250.5778522022029,2794.0,0.973457
28.0,-340.43956056099256,96.0,-253.78719892930255,2890.0,0.972545
29.0,-308.9771419523339,107.0,-255.69030041285535,2997.0,0.9715285
30.0,-379.7081963521414,90.0,-259.8242302774982,3087.0,0.9706735
31.0,-487.9333931446336,126.0,-267.1825903699865,3213.0,0.9694765
32.0,-28.030548039874702,76.0,-259.70908904717044,3289.0,0.9687545
33.0,-99.21703920492135,138.0,-254.8456935974053,3427.0,0.9674435
34.0,-401.8845599996913,84.0,-259.170366138649,3511.0,0.9666455
35.0,-76.21879390440621,89.0,-253.9431783605278,3600.0,0.9658
36.0,-161.40123155741094,106.0,-251.3725687271079,3706.0,0.964793
37.0,-90.57450856917643,80.0,-247.02667520932596,3786.0,0.964033
38.0,-94.18254738370538,78.0,-243.00446131917803,3864.0,0.963292
39.0,-86.65301869819811,92.0,-238.99544996992213,3956.0,0.962418
40.0,-420.1729676364305,100.0,-243.52488791158484,4056.0,0.961468
41.0,-407.76059965105657,132.0,-247.53063697840125,4188.0,0.960214
42.0,-130.30000947963595,77.0,-244.73943156176398,4265.0,0.9594825
43.0,-103.19112327194176,112.0,-241.44761043874485,4377.0,0.9584185000000001
44.0,-150.8656599079975,95.0,-239.38892974486419,4472.0,0.957516
45.0,-76.07822900484712,93.0,-235.75980306175268,4565.0,0.9566325
46.0,-121.74440190705845,114.0,-233.28120738447674,4679.0,0.9555495
47.0,-188.01476768303797,79.0,-232.31809164614828,4758.0,0.954799
48.0,-224.145768491944,156.0,-232.14783491376906,4914.0,0.953317
49.0,-58.50520932771362,105.0,-228.6041078609924,5019.0,0.9523195
50.0,-378.62525269413237,164.0,-231.6045307576552,5183.0,0.9507615
51.0,-477.3782839840334,145.0,-236.4236239581724,5328.0,0.949384
52.0,-207.6458829868693,113.0,-235.87020586257043,5441.0,0.9483105000000001
53.0,-193.1320843990726,122.0,-235.06382621231575,5563.0,0.9471515
54.0,-117.07898236189983,122.0,-232.87892169656732,5685.0,0.9459925
55.0,-109.31057157372126,157.0,-230.63222442160648,5842.0,0.944501
56.0,-194.7248446597384,98.0,-229.99102121157313,5940.0,0.94357
57.0,-276.0270895682968,123.0,-230.79867153362093,6063.0,0.9424015
58.0,-299.80658902690425,115.0,-231.9884632145396,6178.0,0.941309
59.0,-239.977786688382,83.0,-232.1238754768081,6261.0,0.9405205
60.0,-313.06485526713755,99.0,-233.47289180664694,6360.0,0.93958
61.0,-99.06531880214254,139.0,-231.26948897050752,6499.0,0.9382595
62.0,-170.36381725186916,131.0,-230.2871394266585,6630.0,0.937015
63.0,-103.37301099274403,127.0,-228.27262945151702,6757.0,0.9358085
64.0,-196.97172444045128,122.0,-227.7835528107191,6879.0,0.9346495
65.0,-108.57637992396657,119.0,-225.94959630476907,6998.0,0.933519
66.0,-200.0727220959416,97.0,-225.55752245312016,7095.0,0.9325975
67.0,-206.27153273648474,93.0,-225.26967186033454,7188.0,0.931714
68.0,-409.6236728575321,97.0,-227.98076011029332,7285.0,0.9307925
69.0,-90.61731447861442,129.0,-225.9899855359212,7414.0,0.929567
70.0,-39.20635327698981,72.0,-223.32164793222216,7486.0,0.928883
71.0,-140.72836331386486,150.0,-222.15836223337206,7636.0,0.927458
72.0,-227.3957777959122,154.0,-222.23110411618512,7790.0,0.925995
73.0,-101.67025213338869,74.0,-220.57958559587283,7864.0,0.925292
74.0,-125.62324420655465,99.0,-219.29639179331448,7963.0,0.9243515
75.0,-50.27318141645194,164.0,-217.04274898828965,8127.0,0.9227935
76.0,-215.1684007290198,137.0,-217.01808651119399,8264.0,0.921492
77.0,-153.15320561431156,131.0,-216.18867247357213,8395.0,0.9202475
78.0,-72.9324598546301,121.0,-214.35205436307288,8516.0,0.919098
79.0,-229.82487868171097,165.0,-214.5479128987518,8681.0,0.9175305
80.0,-62.70262553900978,122.0,-212.64984680675508,8803.0,0.9163715
81.0,-194.159956986277,113.0,-212.42157656205782,8916.0,0.9152980000000001
82.0,-165.10816427513714,94.0,-211.8445837292905,9010.0,0.914405
83.0,-164.68408615736467,115.0,-211.27638496336368,9125.0,0.9133125
84.0,-43.03745815038142,79.0,-209.2735405965425,9204.0,0.912562
85.0,-312.13365183272094,201.0,-210.48365955226225,9405.0,0.9106525
86.0,-169.0654711218798,104.0,-210.0020527100485,9509.0,0.9096645
87.0,-88.70912967063873,87.0,-208.6078811808599,9596.0,0.908838
88.0,-68.77389128236842,121.0,-207.01885856837697,9717.0,0.9076885
89.0,-65.98722718158449,81.0,-205.43423349661524,9798.0,0.906919
90.0,-49.333526261584765,109.0,-203.69978119400378,9907.0,0.9058835000000001
91.0,-65.27149005991653,80.0,-202.1785911815413,9987.0,0.9051235
92.0,-49.942639862287336,99.0,-200.52385258024506,10086.0,0.904183
93.0,-121.98319689574768,134.0,-199.67932940084188,10220.0,0.90291
94.0,-140.17409678753287,114.0,-199.0462950113386,10334.0,0.901827
95.0,-169.58432802071525,146.0,-198.73616904301625,10480.0,0.90044
96.0,-93.76268249630014,144.0,-197.64269522482127,10624.0,0.899072
97.0,0.3941704353018167,175.0,-195.6010780530674,10799.0,0.8974095
98.0,-68.64346871584792,94.0,-194.30559224350395,10893.0,0.8965165
99.0,-66.1906422279611,109.0,-193.01150183930653,11002.0,0.895481
100.0,-125.98803763971382,151.0,-192.3412671973106,11153.0,0.8940465
101.0,-183.14739125751296,123.0,-190.72667184373756,11276.0,0.8928780000000001
102.0,-72.45009107421846,122.0,-186.37915506575348,11398.0,0.891719
103.0,-32.496427411540296,166.0,-182.75828816588555,11564.0,0.890142
104.0,-216.64443548340438,102.0,-180.40404010092047,11666.0,0.889173
105.0,-53.21327738795168,101.0,-176.5271468395271,11767.0,0.8882135
106.0,-87.05184802080576,123.0,-176.5721830053008,11890.0,0.887045
107.0,-52.99123316264614,187.0,-173.95690323224815,12077.0,0.8852685
108.0,-101.56873315072407,107.0,-174.26014292284395,12184.0,0.884252
109.0,-247.88348566223365,194.0,-174.32064781145647,12378.0,0.882409
110.0,-33.50152832336359,75.0,-172.9046367308976,12453.0,0.8816965
111.0,-41.182073859784396,153.0,-172.2656321934056,12606.0,0.880243
112.0,-24.573070853003784,148.0,-169.65828382431144,12754.0,0.878837
113.0,-91.79339814808338,99.0,-167.367904164192,12853.0,0.8778965
114.0,-174.98951063083888,127.0,-164.4640291161833,12980.0,0.87669
115.0,-8.782776427308448,142.0,-162.63890504707393,13122.0,0.875341
116.0,-34.06653749099516,93.0,-161.14182167311222,13215.0,0.8744575
117.0,-25.390396977386473,151.0,-158.13819001046124,13366.0,0.873023
118.0,-157.94839515215992,141.0,-158.97367547340286,13507.0,0.8716835
119.0,-105.07739959120903,100.0,-156.84514619990514,13607.0,0.8707335
120.0,-71.57119104190372,158.0,-154.13533636658963,13765.0,0.8692325000000001
121.0,-143.5868818028746,103.0,-153.61256634742446,13868.0,0.8682540000000001
122.0,-93.9876072568423,92.0,-153.4569360745702,13960.0,0.86738
123.0,-45.063419037192915,176.0,-151.09116902781392,14136.0,0.865708
124.0,-198.37541214064245,152.0,-150.868927916495,14288.0,0.864264
125.0,-72.82811026183371,126.0,-149.6925434878076,14414.0,0.863067
126.0,-191.88188721005318,156.0,-151.2682109118136,14570.0,0.861585
127.0,-34.1381900141742,78.0,-150.64709419102272,14648.0,0.860844
128.0,-58.931635050389374,142.0,-147.8320149359167,14790.0,0.859495
129.0,-81.47058706522724,79.0,-145.55694938704565,14869.0,0.8587445
130.0,-64.64523320506795,129.0,-142.4063197555749,14998.0,0.857519
131.0,-38.3977227266255,170.0,-137.91096305139482,15168.0,0.855904
132.0,-80.03776701639936,117.0,-138.4310352411601,15285.0,0.8547925000000001
133.0,-86.2152066921124,120.0,-138.30101691603198,15405.0,0.8536525
134.0,-37.66337329558863,165.0,-134.65880504899096,15570.0,0.852085
135.0,-72.54567756301114,82.0,-134.62207388557698,15652.0,0.851306
136.0,-40.27012858694775,175.0,-133.41076285587235,15827.0,0.8496435
137.0,-54.20052019046543,109.0,-133.04702297208524,15936.0,0.848608
138.0,-25.097922917844542,184.0,-132.35617672742666,16120.0,0.8468600000000001
139.0,-117.87383126432923,91.0,-132.66838485308796,16211.0,0.8459955
140.0,-34.193751774537915,118.0,-128.808592694469,16329.0,0.8448745
141.0,48.65338681121183,500.0,-124.24445282984634,16829.0,0.8401245
142.0,-35.99539936799741,114.0,-123.30140672872996,16943.0,0.8390415
143.0,-53.411626233438255,140.0,-122.80361175834493,17083.0,0.8377115
144.0,-79.04396124458667,105.0,-122.08539477171084,17188.0,0.836714
145.0,-233.3526925449657,166.0,-123.65813940711197,17354.0,0.835137
146.0,-26.746692297456107,191.0,-122.70816231101597,17545.0,0.8333225
147.0,-22.873482675863286,127.0,-121.05674946094423,17672.0,0.8321160000000001
148.0,-156.91776079210337,124.0,-120.38446938394581,17796.0,0.830938
149.0,-19.73537805971951,128.0,-119.99677107126587,17924.0,0.8297220000000001
150.0,-32.4711667048138,186.0,-116.53523021137268,18110.0,0.827955
151.0,-16.20398933495946,202.0,-111.92348726488196,18312.0,0.826036
152.0,-98.535608376202,133.0,-110.83238451877527,18445.0,0.8247725
153.0,-14.39492027407016,81.0,-109.04501287752527,18526.0,0.824003
154.0,-125.10041092641436,133.0,-109.12522716317041,18659.0,0.8227395
155.0,-113.87120341519868,170.0,-109.17083348158519,18829.0,0.8211245
156.0,-4.996425460399365,186.0,-107.2735492895918,19015.0,0.8193575
157.0,-65.1670897052075,111.0,-105.16494929096092,19126.0,0.818303
158.0,-76.65820854231015,117.0,-102.93346548611498,19243.0,0.8171915000000001
159.0,-433.72091283346714,154.0,-104.87089674756584,19397.0,0.8157285000000001
160.0,-97.31833430199762,113.0,-102.71343153791442,19510.0,0.814655
161.0,-13.935381749079994,88.0,-101.86213216738378,19598.0,0.8138190000000001
162.0,-86.09001458712524,134.0,-101.01939414073632,19732.0,0.812546
163.0,-100.19336925046336,93.0,-100.98759772331351,19825.0,0.8116625000000001
164.0,-247.04309487999421,116.0,-101.48831142770896,19941.0,0.8105605
165.0,-72.91523451456698,85.0,-101.13169997361496,20026.0,0.8097530000000001
166.0,-20.934182282880926,142.0,-99.34031457548437,20168.0,0.808404
167.0,-45.34369310024116,80.0,-97.73103617912194,20248.0,0.807644
168.0,-101.22989640500431,83.0,-94.64709841459664,20331.0,0.8068555000000001
169.0,-11.204954968813638,164.0,-93.85297481949866,20495.0,0.8052975
170.0,-51.03042260404976,162.0,-93.97121551276925,20657.0,0.8037585
171.0,-46.348487929414155,102.0,-93.02741675892476,20759.0,0.8027895
172.0,-51.01560818799322,108.0,-91.26361506284556,20867.0,0.8017635000000001
173.0,-13.007910000315377,172.0,-90.37699164151482,21039.0,0.8001295
174.0,-17.448786485400973,122.0,-89.2952470643033,21161.0,0.7989705
175.0,-20.764436893737027,218.0,-89.00015961907613,21379.0,0.7968995000000001
176.0,-12.23089526575454,124.0,-86.97078456444348,21503.0,0.7957215
177.0,-52.204761494220385,189.0,-85.96130012324258,21692.0,0.793926
178.0,-196.6068410704264,154.0,-87.19804393540053,21846.0,0.792463
179.0,-82.7894735386897,102.0,-85.7276898839703,21948.0,0.791494
180.0,-63.55280405250514,92.0,-85.73619166910528,22040.0,0.79062
181.0,-75.14978340965922,169.0,-84.5460899333391,22209.0,0.7890145000000001
182.0,-34.61300952887406,131.0,-83.24113838587645,22340.0,0.7877700000000001
183.0,-144.45737602008455,115.0,-83.03887128450366,22455.0,0.7866775
184.0,-65.56018596899766,97.0,-83.26409856268984,22552.0,0.785756
185.0,-41.75657141929502,126.0,-80.56032775855557,22678.0,0.784559
186.0,-68.57602403620322,171.0,-79.5554332876988,22849.0,0.7829345000000001
187.0,-18.482734965225163,174.0,-78.85316934064467,23023.0,0.7812815
188.0,-66.24627868848088,104.0,-78.8278932147058,23127.0,0.7802935
189.0,-31.13544500401052,128.0,-78.47937539293005,23255.0,0.7790775000000001
190.0,-19.51136439719238,186.0,-78.18115377428612,23441.0,0.7773105
191.0,-77.1790867372674,109.0,-78.30022974105962,23550.0,0.776275
192.0,-11.39097376365821,173.0,-77.91471308007334,23723.0,0.7746315
193.0,-42.069102797958394,198.0,-77.11557213909546,23921.0,0.7727505
194.0,-53.18096452699331,182.0,-76.24564081649005,24103.0,0.7710215
195.0,-55.466718937543725,84.0,-75.10446472565835,24187.0,0.7702235000000001
196.0,-47.49469413135161,200.0,-74.64178484200886,24387.0,0.7683235
197.0,-47.62751969531424,138.0,-75.12200174331501,24525.0,0.7670125000000001
198.0,-39.01258364057481,200.0,-74.82569289256229,24725.0,0.7651125000000001
199.0,-48.58165264420859,197.0,-74.64960299672475,24922.0,0.7632410000000001
200.0,38.66047645174709,145.0,-73.00311785581015,25067.0,0.7618635
201.0,-60.27349457717564,182.0,-71.77437888900677,25249.0,0.7601345
202.0,-135.95562292427604,97.0,-72.40943420750736,25346.0,0.759213
203.0,104.06239024831605,500.0,-71.0438460309088,25846.0,0.754463
204.0,-31.668057213886357,157.0,-69.1940822482136,26003.0,0.7529715
205.0,-18.515890077745013,131.0,-68.84710837511155,26134.0,0.751727
206.0,-92.59820754366878,145.0,-68.90257197034018,26279.0,0.7503495
207.0,-102.2458626074907,128.0,-69.39511826478862,26407.0,0.7491335
208.0,-69.6159669527931,134.0,-69.07559060280931,26541.0,0.7478605
209.0,-70.19260407586495,77.0,-67.29868178694562,26618.0,0.747129
