Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-324.1625073807599,163.0,-324.1625073807599,163.0,0.9984515
2.0,-93.26494975642595,109.0,-208.71372856859293,272.0,0.997416
3.0,-148.11063716945083,111.0,-188.51269810221223,383.0,0.9963615
4.0,-294.2213371607456,99.0,-214.93985786684556,482.0,0.995421
5.0,-80.90507020654894,122.0,-188.13290033478626,604.0,0.994262
6.0,-92.95166173283188,97.0,-172.26936056779383,701.0,0.9933405
7.0,-380.033952374311,129.0,-201.95001654015343,830.0,0.992115
8.0,-148.2407470770217,117.0,-195.23635785726196,947.0,0.9910035
9.0,-78.31865096736392,107.0,-182.24550153616218,1054.0,0.989987
10.0,-146.18680938434926,88.0,-178.6396323209809,1142.0,0.989151
11.0,-110.24980111480063,79.0,-172.42237493860088,1221.0,0.9884005
12.0,-291.3125245631986,154.0,-182.3298874073174,1375.0,0.9869375
13.0,-123.50603546070865,75.0,-177.8049757191167,1450.0,0.986225
14.0,-336.71090364835175,65.0,-189.15539914263348,1515.0,0.9856075
15.0,-410.0518890719577,91.0,-203.88183180458842,1606.0,0.984743
16.0,-173.77588258646853,109.0,-202.00020997845593,1715.0,0.9837075
17.0,-350.42156964763967,126.0,-210.73087819429026,1841.0,0.9825105
18.0,-84.4874985497835,70.0,-203.71735710292876,1911.0,0.9818455
19.0,-321.12371941755566,74.0,-209.89663933001438,1985.0,0.9811425
20.0,-278.7798160462795,148.0,-213.34079816582766,2133.0,0.9797365
21.0,-86.82269599921374,89.0,-207.31612663408413,2222.0,0.978891
22.0,-205.05298921693534,89.0,-207.21325675148645,2311.0,0.9780455
23.0,-248.7401545773961,125.0,-209.01877404826516,2436.0,0.976858
24.0,-67.01734297967624,134.0,-203.1020477537406,2570.0,0.975585
25.0,-395.9828619103764,82.0,-210.81728032000603,2652.0,0.974806
26.0,-10.745104994805985,85.0,-203.12219665365217,2737.0,0.9739985
27.0,-50.2146438991832,94.0,-197.45895395904222,2831.0,0.9731055
28.0,-207.66360151560684,114.0,-197.82340565749095,2945.0,0.9720225
29.0,-371.6703753263917,119.0,-203.81812874952203,3064.0,0.970892
30.0,-391.01814889592265,99.0,-210.0581294210687,3163.0,0.9699515
