Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-384.73359912401094,88.0,-384.73359912401094,88.0,0.999164
2.0,-418.5694252290086,93.0,-401.65151217650975,181.0,0.9982805
3.0,-249.827745571831,91.0,-351.0435899749502,272.0,0.997416
4.0,-362.7129285556012,105.0,-353.9609246201129,377.0,0.9964185
5.0,-433.9238101461307,114.0,-369.9535017253164,491.0,0.9953355
6.0,-484.1722509776552,122.0,-388.9899599340395,613.0,0.9941765
7.0,-166.07822969390853,112.0,-357.1454270425923,725.0,0.9931125
8.0,-120.35331523476862,76.0,-327.5464130666143,801.0,0.9923905
9.0,-155.29085389973795,140.0,-308.40690649251695,941.0,0.9910605
10.0,-17.116976060383408,99.0,-279.2779134493036,1040.0,0.99012
11.0,-128.82010083242642,97.0,-265.5999304841329,1137.0,0.9891985
12.0,-301.5424331461846,100.0,-268.5951390393039,1237.0,0.9882485
13.0,-131.7592535829076,95.0,-258.06930169650417,1332.0,0.9873460000000001
14.0,-384.87273301935556,112.0,-267.12668964813645,1444.0,0.986282
15.0,-142.66310762257314,161.0,-258.8291175130989,1605.0,0.9847525
16.0,-112.56068903775729,156.0,-249.68734073339004,1761.0,0.9832705
17.0,-248.77350951793912,109.0,-249.63358595601056,1870.0,0.982235
18.0,-56.595677056381746,79.0,-238.90925768380896,1949.0,0.9814845
19.0,-420.22212477464456,145.0,-248.452040162274,2094.0,0.980107
20.0,-205.57561268840408,156.0,-246.30821878858052,2250.0,0.978625
21.0,-376.8311298327013,118.0,-252.52359550496723,2368.0,0.977504
22.0,-421.76996270134475,120.0,-260.21661219571166,2488.0,0.976364
23.0,-75.7886883268733,99.0,-252.19800681010997,2587.0,0.9754235
24.0,-204.7115952462797,121.0,-250.21940632828372,2708.0,0.974274
25.0,-128.30750699191836,96.0,-245.34293035482912,2804.0,0.9733620000000001
26.0,-303.70583163098274,111.0,-247.58765732698888,2915.0,0.9723075
27.0,-34.903639949266065,80.0,-239.71047149818435,2995.0,0.9715475
28.0,-174.8070384883867,127.0,-237.3924917478344,3122.0,0.970341
29.0,-183.85894089873707,154.0,-235.54650723579658,3276.0,0.968878
30.0,-86.8633837560762,107.0,-230.59040311980593,3383.0,0.9678615
31.0,-115.21385727530814,63.0,-226.868579060306,3446.0,0.967263
32.0,-337.5601448227234,101.0,-230.32769049038149,3547.0,0.9663035
33.0,-153.46219469008383,73.0,-227.99843304188764,3620.0,0.96561
34.0,-438.7874512725384,138.0,-234.19811004867148,3758.0,0.964299
