Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-188.03989929944186,152.0,-188.03989929944186,152.0,0.998556
2.0,-51.26696592851507,70.0,-119.65343261397847,222.0,0.997891
3.0,-150.55416221453467,171.0,-129.95367581416386,393.0,0.9962665
4.0,-131.50008964768108,87.0,-130.34027927254317,480.0,0.99544
5.0,-44.31176845652827,83.0,-113.1345771093402,563.0,0.9946515
6.0,-197.5453320360678,117.0,-127.2030362637948,680.0,0.99354
7.0,-119.31864944299771,121.0,-126.07669528939523,801.0,0.9923905
8.0,-351.06179793316346,88.0,-154.19983311986624,889.0,0.9915545
9.0,-169.86312715053995,107.0,-155.94019912327443,996.0,0.990538
10.0,-273.7238516415522,88.0,-167.71856437510218,1084.0,0.989702
11.0,-346.00053192762056,128.0,-183.92601597078567,1212.0,0.988486
12.0,-135.82353913380837,133.0,-179.91747623437092,1345.0,0.9872225
13.0,-252.4503403140699,123.0,-185.49692731742468,1468.0,0.986054
14.0,-218.8155091854947,117.0,-187.87682602228682,1585.0,0.9849425
15.0,-106.62663871586437,88.0,-182.46014686852533,1673.0,0.9841065
16.0,-203.54987465314633,126.0,-183.77825485506415,1799.0,0.9829095
17.0,-98.45791574643896,127.0,-178.7594113780862,1926.0,0.981703
18.0,-390.2322192853933,123.0,-190.50790070626994,2049.0,0.9805345
19.0,-161.47517802981466,96.0,-188.97986267066705,2145.0,0.9796225
20.0,-288.62481433881476,91.0,-193.96211025407442,2236.0,0.978758
21.0,-308.01560019633325,91.0,-199.39322882275343,2327.0,0.9778935
22.0,-219.33466597906258,100.0,-200.29965778440382,2427.0,0.9769435
23.0,-250.7683961357612,102.0,-202.49395075620197,2529.0,0.9759745
24.0,-63.7877334243112,115.0,-196.71452503403984,2644.0,0.974882
25.0,-386.3676073647971,84.0,-204.3006483272701,2728.0,0.974084
26.0,-53.64663443526806,126.0,-198.50626317757772,2854.0,0.9728870000000001
27.0,-97.11766629910446,67.0,-194.7511299598565,2921.0,0.9722505
28.0,-385.8796856063615,111.0,-201.57714980437456,3032.0,0.971196
29.0,-219.8809518863303,111.0,-202.2083153934075,3143.0,0.9701415
30.0,-330.3155314720637,119.0,-206.4785559293627,3262.0,0.969011
31.0,-266.1269113566086,124.0,-208.4026964270158,3386.0,0.967833
32.0,-70.85972711111611,66.0,-204.10447863589394,3452.0,0.967206
33.0,-191.3345169180094,124.0,-203.71751009898836,3576.0,0.966028
