Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-221.06664410225505,104.0,-221.06664410225505,104.0,0.999012
2.0,-227.05645998186264,100.0,-224.06155204205885,204.0,0.998062
3.0,-111.78624728489888,83.0,-186.63645045633885,287.0,0.9972735
4.0,-474.8697599849805,106.0,-258.69477783849925,393.0,0.9962665
5.0,-129.44395576629609,123.0,-232.84461342405862,516.0,0.995098
6.0,-62.39338722046816,142.0,-204.43607572346022,658.0,0.993749
7.0,-406.1259596537474,159.0,-233.24891628492983,817.0,0.9922385
8.0,-352.0556253052863,128.0,-248.09975491247437,945.0,0.9910225
9.0,-409.14665476262877,85.0,-265.9938548958249,1030.0,0.990215
10.0,-115.8193333532245,89.0,-250.97640274156484,1119.0,0.9893695
11.0,-171.00587636707485,117.0,-243.70635488933848,1236.0,0.988258
12.0,-94.81980451898619,73.0,-231.2991423584758,1309.0,0.9875645
13.0,-284.33814219303883,84.0,-235.37906542267294,1393.0,0.9867665
14.0,-359.91876181734773,105.0,-244.2747580222926,1498.0,0.985769
15.0,-272.15155464759334,113.0,-246.13321113064598,1611.0,0.9846955
16.0,-267.9247308402144,96.0,-247.49518111249398,1707.0,0.9837835
17.0,-308.33910065277,93.0,-251.07423520309845,1800.0,0.9829
18.0,-122.66465333243569,74.0,-243.94036954361718,1874.0,0.982197
19.0,-175.26947771780692,138.0,-240.32611207910085,2012.0,0.980886
20.0,-101.70067534139882,73.0,-233.39484024221574,2085.0,0.9801925
21.0,-282.5867669553053,117.0,-235.73731294283905,2202.0,0.979081
22.0,-122.95880796088218,119.0,-230.611017261841,2321.0,0.9779505000000001
23.0,-26.113662568730305,75.0,-221.71982792735795,2396.0,0.977238
24.0,-315.234464597811,96.0,-225.61627112196015,2492.0,0.976326
25.0,-202.89847132457197,82.0,-224.70755913006462,2574.0,0.975547
26.0,-52.25802567999192,72.0,-218.0748847666003,2646.0,0.974863
27.0,-109.88859388726141,101.0,-214.06798510440257,2747.0,0.9739035
28.0,-227.46070878268398,145.0,-214.5462966643412,2892.0,0.972526
29.0,-179.10164801431057,87.0,-213.32406740054705,2979.0,0.9716995
30.0,-85.83424016368299,73.0,-209.07440649265158,3052.0,0.971006
31.0,-167.1341304439602,120.0,-207.72149436204862,3172.0,0.969866
